Petition,URL,State,Signatures Count
Urgent law to extend voting rights to British abroad by repealing 15-year rule.,https://petition.parliament.uk/petitions/228362,closed,11849
Hold a public inquiry into the decision to incentivise diesel cars & its effects,https://petition.parliament.uk/petitions/228534,closed,10292
Introduce Alternative Student Finance product by September 2019,https://petition.parliament.uk/petitions/228535,closed,16671
Make TV election debates happen - establish an Independent Debates Commission,https://petition.parliament.uk/petitions/228572,closed,143390
Make DLA/ PIP assessment companies liable for wrongly rejected claims,https://petition.parliament.uk/petitions/228602,closed,16404
"Repeal the EU Copyright Directive, when the UK leaves the EU.",https://petition.parliament.uk/petitions/228620,closed,28588
Stop Brexit if supplies of vital medication can't be guaranteed.,https://petition.parliament.uk/petitions/228631,closed,16865
UK Government to Fund Advice Services for British Citizens living in Spain,https://petition.parliament.uk/petitions/228633,closed,10670
Allow the British people to vote on cannabis legalisation,https://petition.parliament.uk/petitions/228655,closed,18381
Provide prescription payment exemption for people with Sickle Cell Anaemia.,https://petition.parliament.uk/petitions/228671,closed,12604
Ban the EU flag from UK Armed Forces uniforms.,https://petition.parliament.uk/petitions/228702,closed,18643
Protect library services by ringfencing government funding for libraries.,https://petition.parliament.uk/petitions/228742,closed,34804
Review rules that allow male prisoners who identify as female in women's prisons,https://petition.parliament.uk/petitions/228767,closed,10980
Review the Animal Welfare Regulations 2018 and DEFRA Guidance notes,https://petition.parliament.uk/petitions/228814,closed,20004
Increase funding for dementia research to find effective treatments.,https://petition.parliament.uk/petitions/228954,closed,34401
NEW LAW THAT CATS KILLED/INJURED BY A VEHICLE ARE CHECKED FOR A CHIP: ROUND 3,https://petition.parliament.uk/petitions/229004,closed,107062
School should start at 10am as teenagers are too tired,https://petition.parliament.uk/petitions/229178,closed,187902
All halal and kosher certified products are to be prominently labelled as such.,https://petition.parliament.uk/petitions/229231,closed,12845
Amend the 1967 Forestry Act to protect endangered wildlife habitat across the UK,https://petition.parliament.uk/petitions/229243,closed,11643
Allow students to register at two GPs,https://petition.parliament.uk/petitions/229573,closed,29060
Organise a rescue plan to prevent the avoidable overnight closure of PRH’s A&E,https://petition.parliament.uk/petitions/229602,closed,32661
Increase funding for multi-disciplinary treatment centres for FND Patients. ,https://petition.parliament.uk/petitions/229614,closed,10876
Protect our Freedom of Movement Rights,https://petition.parliament.uk/petitions/229678,closed,10943
Increase college funding to sustainable levels - all students deserve equality!,https://petition.parliament.uk/petitions/229744,closed,72241
Save Our Parks,https://petition.parliament.uk/petitions/229894,closed,22663
Leave the EU without a deal in March 2019.,https://petition.parliament.uk/petitions/229963,closed,608152
Raise the Rate: increase the national funding rate for sixth form students,https://petition.parliament.uk/petitions/230140,closed,28143
Reject Remote Pharmacist Proposals. Keep Pharmacists Present for Patients.,https://petition.parliament.uk/petitions/230192,closed,10423
Repeal the EU Withdrawal Act to Prevent Accidental No-deal Brexit,https://petition.parliament.uk/petitions/230284,closed,14505
Grant the brown hare protection under S5 of the Wildlife and Countryside Act.,https://petition.parliament.uk/petitions/230349,closed,12398
Abolish the 0.7% Foreign Aid Target and spend OUR money at home,https://petition.parliament.uk/petitions/230416,closed,30622
UK government to integrate all rights in UN CEDAW Convention into domestic law.,https://petition.parliament.uk/petitions/230451,closed,19471
We call on the Government to abandon the HS2 Rail project.,https://petition.parliament.uk/petitions/230452,closed,16358
Make it law to scan microchips routinely on current & new patients at the vets.,https://petition.parliament.uk/petitions/230950,closed,12590
Launch an inquiry into the possible link between cannabis and violence,https://petition.parliament.uk/petitions/231109,closed,12570
Increase funding to Children's Mental Health services,https://petition.parliament.uk/petitions/231146,closed,15791
Ban the sale of fireworks to the public. Displays for licenced venues only.,https://petition.parliament.uk/petitions/231147,closed,307897
Investigate what more can be done to tackle van theft and van tool theft.,https://petition.parliament.uk/petitions/231177,closed,40262
Abolish TV Licence,https://petition.parliament.uk/petitions/231342,closed,20820
"Stop the detention of people with autism & learning disabilities in ATU’s
 
",https://petition.parliament.uk/petitions/231406,closed,45010
Make it a legal requirement to have a second safety critical person on trains,https://petition.parliament.uk/petitions/231479,closed,29455
Ban all ISIS members from returning to UK,https://petition.parliament.uk/petitions/231521,closed,598254
Hold a referendum on England leaving the United Kingdom.,https://petition.parliament.uk/petitions/231563,closed,15916
NHS supply new lifesaving drugs for Cystic Fibrosis like 11 other EU countries,https://petition.parliament.uk/petitions/231602,closed,108144
Make sure mothers get National Insurance credits towards their state pension,https://petition.parliament.uk/petitions/231761,closed,13913
"Guaranteed help at A&E to prevent avoidable deaths from suicide
",https://petition.parliament.uk/petitions/231772,closed,11250
Allow parents to take children out of school for 1 week a year during term time,https://petition.parliament.uk/petitions/231928,closed,32419
Increase funding for schools,https://petition.parliament.uk/petitions/232220,closed,113825
Ban the use of all non-recyclable and unsustainable food packaging,https://petition.parliament.uk/petitions/232684,closed,247048
The UK should not agree the UN's Global Compact for Migration,https://petition.parliament.uk/petitions/232698,closed,131617
Grant a People's Vote if Parliament rejects the EU Withdrawal Agreement,https://petition.parliament.uk/petitions/232984,closed,144523
End the animal cruelty laws exemptions given to UK halal and shechita abattoirs,https://petition.parliament.uk/petitions/233043,closed,14175
Ban animal glue traps,https://petition.parliament.uk/petitions/233106,closed,13815
Stop Universal Credit and let claimants stay on the original benefits.,https://petition.parliament.uk/petitions/233127,closed,18911
Review governance of National Insurance Fund,https://petition.parliament.uk/petitions/233408,closed,15165
Launch an independent enquiry into the health and safety risks of 5G.,https://petition.parliament.uk/petitions/233707,closed,32454
Hard Remain: Align with other EU countries and adopt Schengen and the euro.,https://petition.parliament.uk/petitions/233767,closed,13671
People found with a knife to get 10 years and using a knife 25 years in prison.,https://petition.parliament.uk/petitions/233926,closed,115723
Set up Independent Pricing Watchdog to Stop Excessive Prices at the Fuel Pumps,https://petition.parliament.uk/petitions/234072,closed,15566
Leave with No Deal if Parliament rejects the EU Withdrawal Agreement.,https://petition.parliament.uk/petitions/234393,closed,13159
Strengthen workers' rights to tackle in-work poverty.,https://petition.parliament.uk/petitions/234531,closed,50499
Metal detectors / bag searches obligatory safety measure for big public venues,https://petition.parliament.uk/petitions/234611,closed,23228
Continue to fund free TV licences for the over 75 in the future.,https://petition.parliament.uk/petitions/234627,closed,171982
Public inquiry into the bias in the BBC,https://petition.parliament.uk/petitions/234797,closed,105422
Put pressure on the Chinese Government over the treatment of Uyghur Muslims,https://petition.parliament.uk/petitions/234849,closed,16432
Pay Carers an allowance equivalent to a fulltime job at the National Living wage,https://petition.parliament.uk/petitions/234864,closed,17320
Cancel MPs' Christmas recess until a course of action over Brexit is agreed,https://petition.parliament.uk/petitions/234943,closed,13073
Give parents the right to opt their child out of Relationship and Sex Education,https://petition.parliament.uk/petitions/235053,closed,118050
Hold an immediate independence referendum for Scotland (Indy Ref 2),https://petition.parliament.uk/petitions/235096,closed,11615
Hold a second referendum on EU membership.,https://petition.parliament.uk/petitions/235138,closed,194336
"Walk away now!
We voted for a No Deal Brexit",https://petition.parliament.uk/petitions/235185,closed,46560
The Royal Fleet Auxiliary support ships should be built in the UK,https://petition.parliament.uk/petitions/235377,closed,14046
Make grey squirrel rescue exempt from Invasive Alien Species Order 2019,https://petition.parliament.uk/petitions/235425,closed,59354
Have another general election,https://petition.parliament.uk/petitions/235480,closed,10912
Abolish the BBC television license.,https://petition.parliament.uk/petitions/235653,closed,246736
Introduce mandatory measures to prevent reselling/euthanasia of dogs,https://petition.parliament.uk/petitions/235831,closed,30655
Give voting rights to EU citizens in the UK and Brits abroad in a People's Vote,https://petition.parliament.uk/petitions/235954,closed,38083
Mandate schools to consult parents before teaching Relationships & Sex Education,https://petition.parliament.uk/petitions/236004,closed,65778
"Condemn Sudan’s use of lethal force vs protests, pressure for democratic change",https://petition.parliament.uk/petitions/236102,closed,22999
Automatically grant EU citizens in the UK indefinite leave to remain for free,https://petition.parliament.uk/petitions/236200,closed,21754
Allow Tier 2 (Intra-Company) individuals and their dependants to settle.,https://petition.parliament.uk/petitions/236246,closed,10359
Stop Brexit if parliament rejects the deal,https://petition.parliament.uk/petitions/236261,closed,32603
Send English Channel migrants back to where they first arrived in the EU,https://petition.parliament.uk/petitions/236362,closed,28176
Yoga and Meditation to be included in the UK National school curriculum.,https://petition.parliament.uk/petitions/236421,closed,16624
Change legislation so G.P.s can prescribe medical marijuana for fibromyalgia.,https://petition.parliament.uk/petitions/236693,closed,18218
Establish a national day commemorating the significance of 15th August 1945.,https://petition.parliament.uk/petitions/236760,closed,17627
Laws to be introduced on social networks on hate preaching against religion(s),https://petition.parliament.uk/petitions/236874,closed,115999
Violet-Grace’s Law - Life sentences for Death by Dangerous Driving,https://petition.parliament.uk/petitions/236952,closed,167506
"Freeze the £1bn RFA ship tender till we leave EU directives, to ensure UK build.",https://petition.parliament.uk/petitions/236992,closed,22854
Guarantee the future of state-funded nursery schools after March 2020,https://petition.parliament.uk/petitions/237044,closed,11713
UK Government to ban the import of shark fins into the UK.,https://petition.parliament.uk/petitions/237050,closed,16322
To offer mammograms to all women over 30,https://petition.parliament.uk/petitions/237184,closed,26560
"Keep the Royal Air Force Aerobatic Team, the Red Arrows, in Lincolnshire",https://petition.parliament.uk/petitions/237293,closed,11434
Increase early years funding in line with minimum pay rises,https://petition.parliament.uk/petitions/237320,closed,17036
"To keep daily prayers in House of Commons, as UK was built on Christian values.",https://petition.parliament.uk/petitions/237423,closed,28039
The Prime Minister should advise Her Majesty the Queen to prorogue Parliament.,https://petition.parliament.uk/petitions/237487,closed,100718
Fund research and treatment for children with brain injuries,https://petition.parliament.uk/petitions/237685,closed,11509
Allow all British citizens to vote should there be a new referendum on Brexit.,https://petition.parliament.uk/petitions/237819,closed,13434
Start a public enquiry into NHS Continuing Healthcare ,https://petition.parliament.uk/petitions/238047,closed,10632
Abolish leasehold,https://petition.parliament.uk/petitions/238071,closed,31830
Stop MLA’s Salary until Stormont has a sitting Assembly,https://petition.parliament.uk/petitions/239208,closed,22468
Undertake an independent enquiry into the role of Russia in Brexit.,https://petition.parliament.uk/petitions/239406,closed,14846
Make online homophobia a specific criminal offence,https://petition.parliament.uk/petitions/239444,closed,153506
Raise awareness and fund research into Diffuse Intrinsic Pontine Glioma (DIPG)  ,https://petition.parliament.uk/petitions/239638,closed,41675
Keep CBD on the market as a food supplement.,https://petition.parliament.uk/petitions/239692,closed,12828
Revoke Art.50 if there is no Brexit plan by the 25 of February,https://petition.parliament.uk/petitions/239706,closed,150531
Make it a criminal offence for MPs to deliberately mislead the general public.,https://petition.parliament.uk/petitions/239850,closed,30296
"Make it compulsory for schools to teach basic signing, such as Makaton",https://petition.parliament.uk/petitions/239893,closed,20912
Provide settled and pre-settled status EU citizens a physical document as proof.,https://petition.parliament.uk/petitions/240611,closed,14204
Allow people to identify outside of 'male' and 'female' on legal documentation,https://petition.parliament.uk/petitions/240636,closed,20600
Decriminalise prostitution to promote safety,https://petition.parliament.uk/petitions/241311,closed,11597
Investigate Atos PIP assessments.,https://petition.parliament.uk/petitions/241560,closed,28702
Revoke Article 50 and remain in the EU.,https://petition.parliament.uk/petitions/241584,closed,6103058
The Government to make representations on behalf of Andrew Neal in UAE,https://petition.parliament.uk/petitions/241659,closed,11130
Halt Brexit For A Public Inquiry,https://petition.parliament.uk/petitions/241848,closed,111919
Automatic by-election if an MP resigns membership of their political party,https://petition.parliament.uk/petitions/242193,closed,47092
Recognise animal sentience & require that animal welfare has full regard in law,https://petition.parliament.uk/petitions/242239,closed,103919
Don't put our NHS up for negotiation,https://petition.parliament.uk/petitions/242300,closed,169836
Lower the recommended age for a cervical smear test to 18.,https://petition.parliament.uk/petitions/242330,closed,77736
Request a Royal Commission to review Parliamentary and electoral systems of U.K.,https://petition.parliament.uk/petitions/242856,closed,19690
Parliament must honour the Referendum result. Leave deal or no deal 29/03/19,https://petition.parliament.uk/petitions/243319,closed,183422
Justice for Jodey Whiting. Independent inquiry into deaths linked to the DWP ,https://petition.parliament.uk/petitions/243337,closed,55784
End the Cage Age: ban cages for all farmed animals.,https://petition.parliament.uk/petitions/243448,closed,107187
£15ph National minimum wage for hgv drivers to be made compulsory,https://petition.parliament.uk/petitions/243898,closed,13194
"Immunity for soldiers who worked in Northern Ireland.
",https://petition.parliament.uk/petitions/243947,closed,150324
Make 'netting' hedgerows to prevent birds from nesting a criminal offence.,https://petition.parliament.uk/petitions/244233,closed,365508
British National (Overseas) Citizens should be given full British Citizenship.,https://petition.parliament.uk/petitions/244402,closed,101954
Revoke permission given for beagle breeding centre in Hull for animal testing,https://petition.parliament.uk/petitions/244520,closed,46451
Pet Theft Reform: Amend animal welfare law to make pet theft a specific offence.,https://petition.parliament.uk/petitions/244530,closed,117453
Stop counselling notes of rape survivors being used in court.,https://petition.parliament.uk/petitions/245103,closed,13380
Increase the maintenance loan to cover the UK average university accommodation.,https://petition.parliament.uk/petitions/245377,closed,24271
Change the general election voting system to one of proportional representation,https://petition.parliament.uk/petitions/245488,closed,56370
Price cap on flight tickets and holidays during school holidays,https://petition.parliament.uk/petitions/245565,closed,32300
Fund an NHS Lyme Disease Centre of Excellence,https://petition.parliament.uk/petitions/245716,closed,10397
Make foxes a protected species,https://petition.parliament.uk/petitions/245865,closed,22604
Independent inquiry into exclusions of Black children from school,https://petition.parliament.uk/petitions/246177,closed,11571
Address teachers unmanageable workload by increasing protected PPA to 30%,https://petition.parliament.uk/petitions/246255,closed,26009
Re-instate nursing bursary and scrap tuition fees.,https://petition.parliament.uk/petitions/247360,closed,23403
Revoke all government gagging orders relating to Brexit,https://petition.parliament.uk/petitions/247761,closed,27714
Anonymity for those accused of sexual offences until charge.,https://petition.parliament.uk/petitions/247912,closed,28462
Install microplastic filters on new washing machines as standard,https://petition.parliament.uk/petitions/248269,closed,17579
Leave the EU Without a deal on April 12th.,https://petition.parliament.uk/petitions/248281,closed,249530
To introduce a law that recognises Parental Alienation as a criminal offence.,https://petition.parliament.uk/petitions/249833,closed,15083
To establish a Public Inquiry into the conduct of the 2016 EU Referendum.,https://petition.parliament.uk/petitions/250178,closed,109430
"Grant legal protection to Swallow, Swift and Martin nest sites not just nests.",https://petition.parliament.uk/petitions/250845,closed,73866
Leave EU by April 12th 2019 with deal or no deal.,https://petition.parliament.uk/petitions/250967,closed,31054
Call for an end to LGBT human rights violations in Brunei.,https://petition.parliament.uk/petitions/251142,closed,87671
Hold an Inquiry into the state of the Police Complaints System and role of IOPC,https://petition.parliament.uk/petitions/251627,closed,13874
Introduce legal immunity for UK soldiers after a war or conflict ends,https://petition.parliament.uk/petitions/251994,closed,38040
Automatic DLA renewal for Children under 16 with lifelong medical  conditions,https://petition.parliament.uk/petitions/252248,closed,14493
If Theresa May resigns as Prime Minister a general election must be held.,https://petition.parliament.uk/petitions/252449,closed,46622
Ask the Commonwealth of Nations to expel Brunei,https://petition.parliament.uk/petitions/253069,closed,20724
"Without a Deal make ""Revoke Article 50"" the default action.",https://petition.parliament.uk/petitions/253647,closed,101782
Give Parliament a vote on whether Article 50 should be revoked,https://petition.parliament.uk/petitions/254085,closed,10920
Outlaw planning applications that include removal of mature trees or hedgerows.,https://petition.parliament.uk/petitions/254285,closed,10640
"Leave the EU with No Deal in October 2019
",https://petition.parliament.uk/petitions/254329,closed,207673
Restore nature on a massive scale to help stop climate breakdown,https://petition.parliament.uk/petitions/254607,closed,109077
Reduce foreign aid in favour of increasing pensions with immediate effect,https://petition.parliament.uk/petitions/255062,closed,12308
Repeal the Yvette Cooper/Oliver Letwin Act,https://petition.parliament.uk/petitions/255223,closed,59319
Provide 15 hours free childcare to working parents for children over 9 months.,https://petition.parliament.uk/petitions/255237,closed,146397
"With 'notice to proceed' delayed again, halt all HS2 enabling work immediately.",https://petition.parliament.uk/petitions/255413,closed,24079
Make PE a core subject from KS1-KS5 with a minimum of 2hrs allocated weekly,https://petition.parliament.uk/petitions/255414,closed,16505
We Demand A Vote On Cannabis,https://petition.parliament.uk/petitions/255693,closed,16776
"I  request a full public inquiry into death of my son, Matthew Leahy. (20 yrs.)",https://petition.parliament.uk/petitions/255823,closed,105580
"A final vote on scrapping HS2 for MPs, with a free vote for all Ministers",https://petition.parliament.uk/petitions/256592,closed,10623
"Start preparations for a Peoples Vote now, to enable answer by 31-10-19.",https://petition.parliament.uk/petitions/257329,closed,11334
Change Settlement Status from Application to Registration.,https://petition.parliament.uk/petitions/257397,closed,16761
Abolish imprisonment as a penalty for non-payment of Council Tax.,https://petition.parliament.uk/petitions/257681,closed,12718
Public areas & Food places to have Epi Pens for food allergies,https://petition.parliament.uk/petitions/258291,closed,13098
Stop Postal Votes except for the elderly and disabled,https://petition.parliament.uk/petitions/258370,closed,22393
Increase the penalty for developers and landowners who remove trees illegally.,https://petition.parliament.uk/petitions/258756,closed,10854
Improve maternal care for black British women,https://petition.parliament.uk/petitions/259256,closed,29336
Allergy provision in school: Introduce Statutory Allergy Care legislation,https://petition.parliament.uk/petitions/259303,closed,10558
To grant a section 30 order to allow a 2nd referendum on Scottish Independence.,https://petition.parliament.uk/petitions/259359,closed,13336
The Air Ambulances to be government funded,https://petition.parliament.uk/petitions/259892,closed,134143
Public inquiry into disenfranchisement of EU27 citizens and UK citizens abroad,https://petition.parliament.uk/petitions/260346,closed,12388
Stop charging commonwealth soldiers to stay in Britain!,https://petition.parliament.uk/petitions/260820,closed,11669
Stop the increase to 20% VAT for the installation of renewable energy sources,https://petition.parliament.uk/petitions/260903,closed,12470
Ban energy-wasting open fridges and freezers in all retail outlets,https://petition.parliament.uk/petitions/261092,closed,49272
Stop IR35 roll-out in 2020 in private sector - due to uncertainty around Brexit,https://petition.parliament.uk/petitions/261149,closed,15560
Revoke planning permission to build on the site of the Battle of Bosworth.,https://petition.parliament.uk/petitions/261339,closed,11475
Raise awareness and make Pathological Demand Avoidance a recognisable diagnosis,https://petition.parliament.uk/petitions/261786,closed,11093
Repeal IR35 legislation in Public Sector and proposed Private Sector rollout.,https://petition.parliament.uk/petitions/262354,closed,30343
Ban non-stun slaughter. Animal welfare must take priority over faith tradition.,https://petition.parliament.uk/petitions/262607,closed,14021
"Postpone the rollout of 5G in the UK, pending further independent investigation.",https://petition.parliament.uk/petitions/262842,closed,27698
Parliament should stop a 'no-deal' Brexit,https://petition.parliament.uk/petitions/262986,closed,10397
Convert fossil fuel subsidies into subsidies for renewable energy,https://petition.parliament.uk/petitions/263313,closed,11985
Ban peat compost.,https://petition.parliament.uk/petitions/263362,closed,12928
Make ECOCIDE a UK criminal offence,https://petition.parliament.uk/petitions/263605,closed,21986
"Compensation for women born in 1950s, due to state pension age change",https://petition.parliament.uk/petitions/263615,closed,17656
Introduce voter id for all elections,https://petition.parliament.uk/petitions/263860,closed,20689
Make qualified Dental Nurse wage a minimum of £12 per hour.,https://petition.parliament.uk/petitions/264694,closed,17236
To halt any future increases to the retirement age for the uk State Pension.,https://petition.parliament.uk/petitions/265262,closed,17190
Extend the HM Forces Railcard scheme to include all UK Veterans,https://petition.parliament.uk/petitions/266193,closed,17542
Demand the EU & UN sanction Brazil to halt increased deforestation of the Amazon,https://petition.parliament.uk/petitions/266638,closed,123309
Repeal the archaic Weeds Act 1959 to benefit pollinators and wider biodiversity.,https://petition.parliament.uk/petitions/266743,closed,11879
"Ban Driven Grouse Shooting
Wilful blindness is no longer an option",https://petition.parliament.uk/petitions/266770,closed,111965
Make vet best practice measures mandatory & honour dual microchip registration.,https://petition.parliament.uk/petitions/266835,closed,12234
Rule out any prospect of granting an amnesty on illegal immigration,https://petition.parliament.uk/petitions/266925,closed,35577
Stop the passing of the Abortion Law in Northern Ireland,https://petition.parliament.uk/petitions/267231,closed,16032
Scrap the pension annual allowance taper,https://petition.parliament.uk/petitions/268161,closed,20058
Stop increases in road tax for motorhomes. ,https://petition.parliament.uk/petitions/268246,closed,14907
"Introduce a minimum sentence for carrying a knife, equal to carrying a firearm  ",https://petition.parliament.uk/petitions/268766,closed,75163
Recall Parliament immediately to urgently debate no-deal Brexit.,https://petition.parliament.uk/petitions/269140,closed,53754
Official observers from OSCE ODIHR to monitor the next Scottish referendum.,https://petition.parliament.uk/petitions/269150,closed,11138
Do not prorogue Parliament,https://petition.parliament.uk/petitions/269157,closed,1725632
"Link the state pension to the adult minimum wage 
£328.40p per week.",https://petition.parliament.uk/petitions/269486,closed,38674
Fund research for childhood cancers with the worst survival rates,https://petition.parliament.uk/petitions/269637,closed,37664
Provide Sirius minerals with full Loan Guarantee from HM treasury.,https://petition.parliament.uk/petitions/269824,closed,12002
Politicians who changes parties should have to go through a new By Election.,https://petition.parliament.uk/petitions/269912,closed,36074
Give British Citizenship to all EU citizens  currently living in UK if no deal,https://petition.parliament.uk/petitions/270100,closed,11330
Stop Brexit,https://petition.parliament.uk/petitions/270385,closed,39408
"Hold online trolls accountable for their online abuse via their IP address
",https://petition.parliament.uk/petitions/272087,closed,133680
Consult with focus groups of young people when creating climate change policy,https://petition.parliament.uk/petitions/272167,closed,11923
Bring the date for the post-study work visa closer to help current students,https://petition.parliament.uk/petitions/273801,closed,30388
Stamp Out Tool Theft with the introduction of tighter regulation & greater fines,https://petition.parliament.uk/petitions/273892,closed,31993
"Halt the badger cull & investigate alternative, humane options for bTB control.",https://petition.parliament.uk/petitions/273999,closed,12713
Scrap the right to vote in two separate constituencies at local elections,https://petition.parliament.uk/petitions/274017,closed,11040
"No to a ""People's Vote"" !",https://petition.parliament.uk/petitions/274768,closed,10280
Remain should not be on a second referendum ballot paper,https://petition.parliament.uk/petitions/275166,closed,10428
Revoke article 50 if the EU does not grant an extension past 31 October,https://petition.parliament.uk/petitions/275680,closed,29690
Ban super trawlers from fishing in UK waters.,https://petition.parliament.uk/petitions/276308,closed,25614
Ban fireworks for general sale to the public.,https://petition.parliament.uk/petitions/276425,closed,305579
Defend the Kurds and stop the Turkish military invasion of northern Syria!,https://petition.parliament.uk/petitions/276661,closed,39052
Lower the cost of British Citizenship applications to £372.,https://petition.parliament.uk/petitions/276697,closed,21598
Hold a referendum on whether to leave with the deal offered or remain in the EU,https://petition.parliament.uk/petitions/276978,closed,60827
Halt all efforts to introduce ID checks at polling stations,https://petition.parliament.uk/petitions/277121,closed,43195
Ensure any Brexit deal protects the Touring Industry for Musicians and Crew.,https://petition.parliament.uk/petitions/277346,closed,21082
"Do not reduce the voting age to 16, it must remain 18 years of age",https://petition.parliament.uk/petitions/278182,closed,12621
